Price,Open,High,Low,Close,Adj Close,Volume
2008-09-01,6967.189284012874,6967.189284012874,5530.165390241723,5719.25439453125,5719.25439453125,80402400
2008-10-01,5853.973004413384,5853.973004413384,4110.070890165036,4870.6376953125,4870.6376953125,66392400
2008-11-01,4925.71758750171,5095.956550891181,3955.411745923107,4460.4697265625,4460.4697265625,68436000
2008-12-01,4436.099830381486,4750.938234338453,4190.000858164766,4591.19921875,4591.19921875,87324000
2009-01-01,4725.237496757574,4817.417238118663,4164.170316708702,4247.9501953125,4247.9501953125,41117400
2009-02-01,4277.0803918320935,4607.948984606277,4240.060542862668,4557.12890625,4557.12890625,64448000
2009-03-01,4528.24922779687,5468.4651255815925,4328.029932272309,5210.81591796875,5210.81591796875,116669000
2009-04-01,5271.805593514259,6071.031862020622,5271.805593514259,5992.5419921875,5992.5419921875,149469000
2009-05-01,6285.571145347629,6930.55792053297,6256.2612217599,6890.408203125,6890.408203125,140233400
2009-06-01,7033.297509154352,7084.797270675286,6100.051830719175,6432.13037109375,6432.13037109375,104431200
2009-07-01,6445.820748107853,7185.487302082911,6433.66064722605,7077.677734375,7077.677734375,110756000
2009-08-01,7036.438001058427,7138.90725850251,6629.069748859068,6825.9189453125,6825.9189453125,78386200
2009-09-01,6834.598773446751,7558.845476858855,6807.589130762816,7509.1357421875,7509.1357421875,92419400
2009-10-01,7581.345083825725,7811.884064695667,7233.596680019008,7340.04638671875,7340.04638671875,99066000
2009-11-01,7238.266243037424,7875.443464420726,7218.856665065014,7582.1748046875,7582.1748046875,81100600
2009-12-01,7615.915224863613,8188.76220386322,7548.975102549036,8188.072265625,8188.072265625,102750800
2010-01-01,8222.382087738144,8395.351018408392,7481.865475590125,7640.40478515625,7640.40478515625,105426800
2010-02-01,7653.854955969487,7661.664978664667,7173.147204592916,7436.06591796875,7436.06591796875,43507600
2010-03-01,7492.804736111734,7994.58265846197,7451.05493173101,7920.02294921875,7920.02294921875,80218800
2010-04-01,7952.582762047737,8189.971295415818,7842.032988357109,8004.21240234375,8004.21240234375,90335200
2010-05-01,7979.762816919109,8022.413009852085,7032.3673059396815,7373.94580078125,7373.94580078125,72737400
2010-06-01,7326.976085068736,7645.674815390715,7048.567696884344,7329.33642578125,7329.33642578125,62387800
2010-07-01,7326.856484351817,7807.033966389099,7251.566791096061,7760.59423828125,7760.59423828125,83998400
2010-08-01,7829.153802376876,8054.252860985778,7577.065122257129,7616.24462890625,7616.24462890625,104368400
2010-09-01,7643.57271213581,8286.889409550762,7625.683150649495,8237.740234375,8237.740234375,93925800
2010-10-01,8259.04017439164,8386.2495207144,7992.771441343602,8287.0498046875,8287.0498046875,83728400
2010-11-01,8343.47963068514,8473.619633323746,8226.670618981967,8372.4404296875,8372.4404296875,60162400
2010-12-01,8430.561070917256,8990.338785453918,8428.601118939247,8972.458984375,8972.458984375,86739800
2011-01-01,9039.588376052323,9154.887651324194,8738.889561447999,9145.3076171875,9145.3076171875,74939800
2011-02-01,9220.647499128274,9220.647499128274,8470.0504079077,8599.6103515625,8599.6103515625,47511600
2011-03-01,8611.750329734552,8829.189756795038,8070.482806022245,8683.259765625,8683.259765625,63751400
2011-04-01,8697.800239788941,9099.708566017413,8592.191345661164,9007.8291015625,9007.8291015625,50125800
2011-05-01,9014.28894618934,9081.968324870322,8673.340306615466,8988.798828125,8988.798828125,48941200
2011-06-01,8999.79819782011,9089.427665878584,8433.420935878348,8652.5498046875,8652.5498046875,43685800
2011-07-01,8684.34942312608,8842.12896573955,8410.40147328421,8644.1396484375,8644.1396484375,53545000
2011-08-01,8629.929990491444,8707.830022429733,7148.726849678013,7741.32421875,7741.32421875,71594000
2011-09-01,7799.144335845014,7886.003799975086,6877.088514436836,7225.3466796875,7225.3466796875,52829200
2011-10-01,7128.627126835178,7743.334239620312,6889.9583107960125,7587.65478515625,7587.65478515625,43257400
2011-11-01,7547.205539666746,7683.054524540283,6744.228762222737,6904.08837890625,6904.08837890625,49550600
2011-12-01,7132.378147217717,7199.227456583147,6609.080202730841,7072.04833984375,7072.04833984375,40925800
2012-01-01,7005.3578286092425,7517.04541015625,7005.3578286092425,7517.04541015625,7517.04541015625,35503800
2012-02-01,7520.325048284519,8121.40234375,7488.93554516327,8121.40234375,8121.40234375,69098800
2012-03-01,8127.53180467552,8170.681993449514,7775.713626216733,7932.962890625,7932.962890625,55135600
2012-04-01,7905.843861673872,7928.394051897926,7422.106319617714,7501.68603515625,7501.68603515625,35760200
2012-05-01,7511.725104014384,7704.834564505281,7047.287305679385,7301.46630859375,7301.46630859375,38591200
2012-06-01,7213.656631368048,7334.596014320289,6857.318433058024,7296.24609375,7296.24609375,32466800
2012-07-01,7332.0558668915455,7442.515315958278,6922.69790058134,7270.45654296875,7270.45654296875,35296800
2012-08-01,7242.546612245069,7536.285001051917,7186.746577113427,7397.02587890625,7397.02587890625,41193600
2012-09-01,7430.366043682196,7789.35464221942,7313.526732345091,7715.125,7715.125,45937400
