date,PE,DividendYield,PB
2023-04-01,23.27,1.66,3.75
2023-05-01,23.15,1.65,3.75
2023-06-01,24.01,1.58,3.75
2023-07-01,24.76,1.53,3.75
2023-08-01,24.16,1.56,3.75
2023-09-01,23.93,1.57,3.75
2023-10-01,22.78,1.64,3.75
2023-11-01,23.51,1.57,3.75
2023-12-01,24.35,1.5,4.31
2024-01-01,25.01,1.47,4.31
2024-02-01,26.14,1.41,4.31
2024-03-01,27.02,1.37,4.31
2024-04-01,26.41,1.4,4.31
2024-05-01,26.93,1.37,4.31
2024-06-01,27.64,1.33,4.31
2024-07-01,28.08,1.31,4.31
2024-08-01,27.67,1.33,4.31
2024-09-01,28.09,1.3,4.31
2024-10-01,28.45,1.28,4.31
2024-11-01,28.66,1.25,4.31
2024-12-01,28.6,1.24,4.99
2025-01-01,28.16,1.26,4.99
2025-02-01,28.15,1.25,4.99
2025-03-01,26.23,1.34,4.99
2025-04-01,24.56,1.43,4.99
2025-05-01,26.34,1.32,4.99
2025-06-01,27.1,1.28,4.99
2025-07-01,27.81,1.23,4.99
2025-08-01,27.84,1.22,4.99
2025-09-01,28.13,1.19,4.99
2025-10-01,28.78,1.17,4.99
2025-11-01,28.8,1.17,4.99
2025-12-01,29.28,1.15,5.39
2026-01-01,29.6,1.14,5.39
2026-02-01,29.45,1.14,5.39
2026-03-01,29.15,1.16,5.39
2026-04-01,29.26,1.15,5.39
